owner_repo,nom,statut,niveau,motif,categorie,importance,licence_connue,url_resolue,section
TheHive-Project/Cortex,Cortex,SHORTLIST,analyse approfondie,1618 étoiles; dernier commit 2026-06-30; licence AGPL-3.0,Security Analysis & Response Engine,⭐ Haute,oui,oui,🟠 Security Orchestration / Automation
DefectDojo/django-DefectDojo,DefectDojo,SHORTLIST,analyse approfondie,4910 étoiles; dernier commit 2026-08-24; licence BSD-3-Clause,Vulnerability Management & Aggregation,⭐ Haute,oui,oui,🟡 Vulnerability Management
infobyte/faraday,Faraday,SHORTLIST,analyse approfondie,6696 étoiles; dernier commit 2026-08-19; licence GPL-3.0,Vulnerability Management Platform,⭐ Haute,oui,oui,🟡 Vulnerability Management
archerysec/archerysec,ArcherySec,TRIAGE-MINIMAL,triage minimal,2471 étoiles; inactif depuis 23 mois; licence GPL-3.0,Vulnerability Assessment Orchestration,🟡 Moyenne,oui,oui,🟡 Vulnerability Management
OpenCTI-Platform/opencti,OpenCTI,TRIAGE-HAUTE,triage obligatoire,9858 étoiles; dernier commit 2026-08-27; licence inconnue,Threat Intelligence Platform (TIP),⭐ Haute,non,oui,🟤 Threat Intelligence / OSINT
MISP/MISP,MISP,TRIAGE-HAUTE,triage obligatoire,6490 étoiles; dernier commit 2026-08-25; licence AGPL-3.0,Threat Sharing Platform,⭐ Haute,oui,oui,🟤 Threat Intelligence / OSINT
smicallef/spiderfoot,SpiderFoot,TRIAGE-HAUTE,triage obligatoire,21459 étoiles; inactif depuis 34 mois; licence MIT,OSINT Automation Framework,⭐ Haute,oui,oui,🟤 Threat Intelligence / OSINT
aquasecurity/trivy,Trivy,SHORTLIST,analyse approfondie,37652 étoiles; dernier commit 2026-08-21; licence Apache-2.0,All-in-One Cloud & Container Scanner,⭐ Haute,oui,oui,🟤 Threat Intelligence / OSINT
prowler-cloud/prowler,Prowler,SHORTLIST,analyse approfondie,14696 étoiles; dernier commit 2026-08-27; licence Apache-2.0,Cloud Security Posture Management (CSPM),⭐ Haute,oui,oui,🟤 Threat Intelligence / OSINT
falcosecurity/falco,Falco,SHORTLIST,analyse approfondie,9310 étoiles; dernier commit 2026-07-31; licence Apache-2.0,Container Runtime Security,⭐ Haute,oui,oui,🟤 Threat Intelligence / OSINT
semgrep/semgrep,Semgrep,SHORTLIST,analyse approfondie,16416 étoiles; dernier commit 2026-08-25; licence LGPL-2.1,SAST / Static Code Analysis,⭐ Haute,oui,oui,🟤 Threat Intelligence / OSINT
bridgecrewio/checkov,Checkov,TRIAGE-MINIMAL,triage minimal,8973 étoiles; dernier commit 2026-08-27; licence Apache-2.0,Infrastructure as Code (IaC) Security,🟡 Moyenne,oui,oui,🟤 Threat Intelligence / OSINT
gitleaks/gitleaks,Gitleaks,TRIAGE-HAUTE,triage obligatoire,28977 étoiles; dernier commit 2026-07-22; licence MIT,Secrets Detection,⭐ Haute,oui,oui,🟤 Threat Intelligence / OSINT
TheHive-Project/TheHive,TheHive,SHORTLIST,analyse approfondie,3947 étoiles; dernier commit 2025-07-25; archivé; licence AGPL-3.0,Incident Response Platform,⭐ Haute,oui,oui,🟤 Threat Intelligence / OSINT
kevoreilly/CAPEv2,CAPEv2,TRIAGE-MINIMAL,triage minimal,3454 étoiles; dernier commit 2026-08-23; licence inconnue,Automated Malware Analysis (Sandbox),🟡 Moyenne,non,oui,🟤 Threat Intelligence / OSINT
log2timeline/plaso,Plaso (log2timeline),TRIAGE-MINIMAL,triage minimal,2140 étoiles; dernier commit 2026-08-27; licence Apache-2.0,Forensic Timeline Generator,⚪ Faible,oui,oui,🟤 Threat Intelligence / OSINT
langchain-ai/langgraph,LangGraph,SHORTLIST,analyse approfondie,40558 étoiles; dernier commit 2026-08-26; licence MIT,Agentic Workflow Framework,⭐ Haute,oui,oui,🟤 Threat Intelligence / OSINT
BerriAI/litellm,LiteLLM,TRIAGE-HAUTE,triage obligatoire,57403 étoiles; dernier commit 2026-08-27; licence inconnue,AI Model Gateway & Proxy,⭐ Haute,non,oui,🟤 Threat Intelligence / OSINT
open-policy-agent/opa,Open Policy Agent (OPA),SHORTLIST,analyse approfondie,12171 étoiles; dernier commit 2026-08-27; licence Apache-2.0,Policy Engine / Governance,⭐ Haute,oui,oui,🟤 Threat Intelligence / OSINT
elastic/kibana,Elastic Security (Kibana),TRIAGE-MINIMAL,triage minimal,21265 étoiles; dernier commit 2026-08-27; licence inconnue,SIEM & Visualization Platform,🟡 Moyenne,non,oui,🟤 Threat Intelligence / OSINT
Security-Onion-Solutions/securityonion,Security Onion,TRIAGE-HAUTE,triage obligatoire,4848 étoiles; dernier commit 2026-07-29; licence inconnue,Network Security Platform,⭐ Haute,non,oui,🟤 Threat Intelligence / OSINT
sbilly/awesome-security,Awesome Security,TRIAGE-HAUTE,triage obligatoire,14800 étoiles; dernier commit 2026-01-11; licence MIT,Curated List / Security Discovery,⭐ Haute,oui,oui,🟤 Threat Intelligence / OSINT
hslatman/awesome-threat-intelligence,Awesome Threat Intelligence,TRIAGE-MINIMAL,triage minimal,10580 étoiles; dernier commit 2026-05-31; licence Apache-2.0,Curated List / CTI,🟡 Moyenne,oui,oui,🟤 Threat Intelligence / OSINT
devsecops/awesome-devsecops,Awesome DevSecOps,TRIAGE-MINIMAL,triage minimal,5460 étoiles; inactif depuis 59 mois; licence CC0-1.0,Curated List / DevSecOps,🟡 Moyenne,oui,oui,🟤 Threat Intelligence / OSINT
vxcontrol/pentagi,PentAGI,SHORTLIST,analyse approfondie,22056 étoiles; dernier commit 2026-08-06; licence MIT,AI Pentesting Agent,⭐ Haute,oui,oui,🔴 Offensive / Pentesting
GaneshKrishnaReddy/PentestCode,PentestCode,TRIAGE-HAUTE,triage obligatoire,1 étoiles; dernier commit 2026-07-19; licence MIT,AI Pentesting Agent,⭐ Haute,oui,oui,🔴 Offensive / Pentesting
KeygraphHQ/shannon,Shannon,SHORTLIST,analyse approfondie,47248 étoiles; dernier commit 2026-08-27; licence AGPL-3.0,AI Pentesting Agent,⭐ Haute,oui,oui,🔴 Offensive / Pentesting
zakirkun/guardian-cli,Guardian CLI,TRIAGE-HAUTE,triage obligatoire,1853 étoiles; dernier commit 2026-06-27; licence MIT,AI Pentesting Agent,⭐ Haute,oui,oui,🔴 Offensive / Pentesting
SHAdd0WTAka/zen-ai-pentest,Zen AI Pentest,TRIAGE-MINIMAL,triage minimal,441 étoiles; dernier commit 2026-08-01; licence MIT,AI Pentesting Agent,🟡 Moyenne,oui,oui,🔴 Offensive / Pentesting
GH05TCREW/pentestagent,PentestAgent,IGNORE,écarté,3014 étoiles; dernier commit 2026-08-04; licence MIT,AI Pentesting Agent,⭐ Haute,oui,oui,🔴 Offensive / Pentesting
samugit83/redamon,Redamon,SHORTLIST,analyse approfondie,2356 étoiles; dernier commit 2026-08-23; licence MIT,AI Red Team Agent,⭐ Haute,oui,oui,🔴 Offensive / Pentesting
ahmetdrak/drakben,Drakben,TRIAGE-MINIMAL,triage minimal,21 étoiles; dernier commit 2026-02-16; licence MIT,AI Pentesting Agent,🟡 Moyenne,oui,oui,🔴 Offensive / Pentesting
Armur-Ai/Pentest-Swarm-AI,Pentest Swarm AI,TRIAGE-HAUTE,triage obligatoire,2389 étoiles; dernier commit 2026-08-27; licence AGPL-3.0,AI Pentesting Agent,⭐ Haute,oui,oui,🔴 Offensive / Pentesting
Ed1s0nZ/CyberStrikeAI,CyberStrikeAI,SHORTLIST,analyse approfondie,6013 étoiles; dernier commit 2026-08-26; licence Apache-2.0,AI Pentesting Platform,🟡 Moyenne,oui,oui,🔴 Offensive / Pentesting
Agnuxo1/EnigmAgent,EnigmAgent,TRIAGE-MINIMAL,triage minimal,4 étoiles; dernier commit 2026-06-05; licence MIT,AI Security Agent,🟡 Moyenne,oui,oui,🔴 Offensive / Pentesting
yz9yt/BugTrace-AI,BugTrace-AI,TRIAGE-MINIMAL,triage minimal,251 étoiles; dernier commit 2026-02-11; archivé; licence MIT,AI Pentesting Agent,⚪ Faible,oui,oui,🔴 Offensive / Pentesting
wudidike/pentest_skill,Pentest Skill,TRIAGE-MINIMAL,triage minimal,27 étoiles; dernier commit 2026-08-12; licence inconnue,AI Pentesting Agent,⚪ Faible,non,oui,🔴 Offensive / Pentesting
antoninoLorenzo/AI-OPS,AI-OPS,TRIAGE-MINIMAL,triage minimal,156 étoiles; dernier commit 2026-08-10; licence MIT,AI Pentesting Assistant,⚪ Faible,oui,oui,🔴 Offensive / Pentesting
NeoTheCapt/RedteamAgent,RedteamAgent,TRIAGE-MINIMAL,triage minimal,121 étoiles; dernier commit 2026-05-10; licence inconnue,AI Red Team Agent,🟡 Moyenne,non,oui,🔴 Offensive / Pentesting
0xSteph/pentest-ai-agents,Pentest-AI-Agents,TRIAGE-HAUTE,triage obligatoire,2169 étoiles; dernier commit 2026-08-16; licence MIT,AI Pentesting Agents Collection,⭐ Haute,oui,oui,🔴 Offensive / Pentesting
marzekan/MASAPT,MASAPT,TRIAGE-MINIMAL,triage minimal,30 étoiles; inactif depuis 57 mois; licence GPL-2.0,Multi-Agent Pentesting System,🟡 Moyenne,oui,oui,🔴 Offensive / Pentesting
hardenedlinux/agentic-ai-pentest,Agentic AI Pentest,TRIAGE-MINIMAL,triage minimal,10 étoiles; dernier commit 2026-02-27; licence GPL-3.0,AI Pentesting Agent,🟡 Moyenne,oui,oui,🔴 Offensive / Pentesting
ashishpatel26/500-AI-Agents-Projects,Vibe Hacking Agent,TRIAGE-MINIMAL,triage minimal,37066 étoiles; dernier commit 2026-07-27; licence MIT,AI Red Team Agent,🟡 Moyenne,oui,oui,🔴 Offensive / Pentesting
topics/soc-dashboard,Sentinel (SOC Dashboard),TRIAGE-MINIMAL,triage minimal,licence inconnue,SOC Dashboard,🟡 Moyenne,non,oui,🔵 Defensive / Blue Team
invincible-jha/QuasarCyberdefenseAI-multi-agent-cybersecurity-ai-system,QuasarCyberdefenseAI,TRIAGE-MINIMAL,triage minimal,3 étoiles; inactif depuis 22 mois; licence MIT,Multi-Agent Cyber Defense,🟡 Moyenne,oui,oui,🔵 Defensive / Blue Team
requie/AI-Red-Teaming-Guide,Gideon,TRIAGE-MINIMAL,triage minimal,845 étoiles; dernier commit 2026-08-04; licence MIT,AI Defensive Agent,🟡 Moyenne,oui,oui,🔵 Defensive / Blue Team
Tencent/AI-Infra-Guard,AI-Infra-Guard,SHORTLIST,analyse approfondie,6003 étoiles; dernier commit 2026-08-27; licence Apache-2.0,AI Security Scanner,⭐ Haute,oui,oui,🔵 Defensive / Blue Team
agentfence/agentfence,AgentFence,TRIAGE-HAUTE,triage obligatoire,61 étoiles; dernier commit 2026-08-06; licence MIT,AI Security Testing Framework,⭐ Haute,oui,oui,🔵 Defensive / Blue Team
SuperagenticAI/superclaw,SuperClaw,TRIAGE-MINIMAL,triage minimal,400 étoiles; dernier commit 2026-02-02; licence Apache-2.0,AI Agent Security Testing,🟡 Moyenne,oui,oui,🔵 Defensive / Blue Team
AKiileX/Valk,Valk,TRIAGE-MINIMAL,triage minimal,dernier commit 2026-04-09; licence inconnue,LLM Red Team Framework,🟡 Moyenne,non,oui,🔵 Defensive / Blue Team
confident-ai/deepteam,DeepTeam,TRIAGE-MINIMAL,triage minimal,2624 étoiles; dernier commit 2026-08-21; licence Apache-2.0,LLM Red Teaming Framework,🟡 Moyenne,oui,oui,🔵 Defensive / Blue Team
vectara/red-teaming-agent,Red-Teaming-Agent (Vectara),TRIAGE-MINIMAL,triage minimal,21 étoiles; dernier commit 2025-10-15; licence inconnue,AI Red Team Agent,🟡 Moyenne,non,oui,🔵 Defensive / Blue Team
tbh-ai/SecureAgents,SecureAgents,TRIAGE-MINIMAL,triage minimal,1 étoiles; dernier commit 2025-06-12; licence Apache,Secure Multi-Agent Framework,🟡 Moyenne,oui,oui,🔵 Defensive / Blue Team
FuzzingLabs/mcp-security-hub,MCP Security Hub,TRIAGE-HAUTE,triage obligatoire,769 étoiles; dernier commit 2026-04-08; licence MIT,MCP Security Servers Collection,⭐ Haute,oui,oui,🟣 MCP / Tool Aggregation
hackersatyamrastogi/pentesting-cyber-mcp,Pentesting Cyber MCP,TRIAGE-HAUTE,triage obligatoire,27 étoiles; dernier commit 2026-01-27; licence MIT,MCP Security Servers Collection,⭐ Haute,oui,oui,🟣 MCP / Tool Aggregation
cyproxio/mcp-for-security,MCP for Security (Cyproxio),TRIAGE-HAUTE,triage obligatoire,633 étoiles; dernier commit 2026-03-30; archivé; licence MIT,MCP Security Servers Collection,⭐ Haute,oui,oui,🟣 MCP / Tool Aggregation
f1tz/mcp-for-security-python,MCP for Security (f1tz),TRIAGE-MINIMAL,triage minimal,41 étoiles; dernier commit 2025-06-22; licence MIT,MCP Security Servers Collection,🟡 Moyenne,oui,oui,🟣 MCP / Tool Aggregation
0x4m4/hexstrike-ai,HexStrike AI MCP Agents,IGNORE,écarté,11394 étoiles; dernier commit 2026-08-03; licence MIT,MCP Security Server,⭐ Haute,oui,oui,🟣 MCP / Tool Aggregation
bhavsec/autopentest-ai,Autopentest-AI,TRIAGE-HAUTE,triage obligatoire,218 étoiles; dernier commit 2026-02-22; licence Apache-2.0,MCP Pentesting Server,⭐ Haute,oui,oui,🟣 MCP / Tool Aggregation
0xSojalSec/PentestAgent,PentestAgent MCP,TRIAGE-MINIMAL,triage minimal,696 étoiles; dernier commit 2025-06-05; licence MIT,MCP Offensive Security Server,🟡 Moyenne,oui,oui,🟣 MCP / Tool Aggregation
GitHub/github-mcp-server,GitHub Security MCP,TRIAGE-MINIMAL,triage minimal,32552 étoiles; dernier commit 2026-08-27; licence MIT,MCP Security Server,🟡 Moyenne,oui,oui,🟣 MCP / Tool Aggregation
OpenOSINT/OpenOSINT,OpenOSINT,TRIAGE-HAUTE,triage obligatoire,1475 étoiles; dernier commit 2026-08-26; licence MIT,AI OSINT Agent,⭐ Haute,oui,oui,🟢 AI Security Agents
crewaiinc/crewai,CrewAI,TRIAGE-HAUTE,triage obligatoire,57675 étoiles; dernier commit 2026-08-27; licence MIT,Multi-Agent Framework,⭐ Haute,oui,oui,🟢 AI Security Agents
microsoft/autogen,AutoGen,TRIAGE-HAUTE,triage obligatoire,60652 étoiles; dernier commit 2026-04-06; licence CC-BY-4.0,Multi-Agent Framework,⭐ Haute,oui,oui,🟢 AI Security Agents
microsoft/agent-framework,Microsoft Agent Framework,TRIAGE-MINIMAL,triage minimal,13149 étoiles; dernier commit 2026-08-27; licence MIT,Multi-Agent Framework,🟡 Moyenne,oui,oui,🟢 AI Security Agents
agentuniverse-ai/agentuniverse,Agent Universe,TRIAGE-MINIMAL,triage minimal,2345 étoiles; dernier commit 2026-07-28; licence Apache-2.0,Multi-Agent Framework,🟡 Moyenne,oui,oui,🟢 AI Security Agents
manusagents/ManusClaw,ManusClaw,TRIAGE-MINIMAL,triage minimal,2 étoiles; dernier commit 2026-08-05; licence MIT,AI Agent Framework,🟡 Moyenne,oui,oui,🟢 AI Security Agents
bearclaw-ai/bearclaw,BearClaw,N/A,non applicable,licence inconnue; repo non exploitable (404-introuvable),AI Agent Framework,🟡 Moyenne,non,non,🟢 AI Security Agents
microsoft/agent-governance-toolkit,Agent Governance Toolkit,SHORTLIST,analyse approfondie,6135 étoiles; dernier commit 2026-08-25; licence MIT,AI Agent Security Toolkit,⭐ Haute,oui,oui,🟢 AI Security Agents
OWASP/secure-agent-playbook,OWASP Secure Agent Playbook,TRIAGE-MINIMAL,triage minimal,156 étoiles; dernier commit 2026-06-02; licence inconnue,AI Agent Security Playbook,🟡 Moyenne,non,oui,🟢 AI Security Agents
TracecatHQ/tracecat,Tracecat,SHORTLIST,analyse approfondie,3781 étoiles; dernier commit 2026-08-27; licence AGPL-3.0,SOAR Platform,⭐ Haute,oui,oui,🟠 Security Orchestration / Automation
COSSAS/SOARCA,SOARCA,TRIAGE-HAUTE,triage obligatoire,107 étoiles; dernier commit 2026-07-17; licence Apache-2.0,SOAR Platform,⭐ Haute,oui,oui,🟠 Security Orchestration / Automation
SecurityBrewery/catalyst,Catalyst,TRIAGE-MINIMAL,triage minimal,535 étoiles; dernier commit 2026-07-18; archivé; licence AGPL-3.0,SOAR / Incident Response Platform,🟡 Moyenne,oui,oui,🟠 Security Orchestration / Automation
z1pti3/jimi,Jimi,TRIAGE-MINIMAL,triage minimal,172 étoiles; inactif depuis 27 mois; archivé; licence Apache-2.0,IT/Security Automation Platform,🟡 Moyenne,oui,oui,🟠 Security Orchestration / Automation
cookpad/deepalert,DeepAlert,TRIAGE-MINIMAL,triage minimal,51 étoiles; dernier commit 2026-05-27; licence MIT,Serverless SOAR Framework,🟡 Moyenne,oui,oui,🟠 Security Orchestration / Automation
swiftbird07/IRIS-SOAR,IRIS-SOAR,TRIAGE-MINIMAL,triage minimal,17 étoiles; inactif depuis 30 mois; licence MIT,SOAR Platform,🟡 Moyenne,oui,oui,🟠 Security Orchestration / Automation
nsacyber/WALKOFF,WALKOFF,IGNORE,écarté,1237 étoiles; inactif depuis 72 mois; archivé; licence inconnue,Security Automation Framework,🟡 Moyenne,non,oui,🟠 Security Orchestration / Automation
ShipSecAI/studio,ShipSec Studio,TRIAGE-MINIMAL,triage minimal,376 étoiles; dernier commit 2026-02-25; licence Apache-2.0,Security Workflow Orchestration,🟡 Moyenne,oui,oui,🟠 Security Orchestration / Automation
mmmalfares/SuperPlaybooks,SuperPlaybooks,TRIAGE-MINIMAL,triage minimal,dernier commit 2025-06-08; licence inconnue,Security Playbooks Collection,🟡 Moyenne,non,oui,🟠 Security Orchestration / Automation
AbH-cS/SOAR-EDR-PLAYBOOK,SOAR-EDR-Playbook,TRIAGE-MINIMAL,triage minimal,inactif depuis 21 mois; licence inconnue,SOAR EDR Integration,⚪ Faible,non,oui,🟠 Security Orchestration / Automation
OpenSecOps-Org/SOAR,OpenSecOps SOAR,TRIAGE-MINIMAL,triage minimal,6 étoiles; dernier commit 2026-05-13; licence MPL-2.0,SOAR Platform (AWS),🟡 Moyenne,oui,oui,🟠 Security Orchestration / Automation
FunnyWolf/agentic-soc-platform,Agentic SOC Platform,TRIAGE-MINIMAL,triage minimal,1162 étoiles; dernier commit 2026-08-05; licence inconnue,AI SOC Platform,🟡 Moyenne,non,oui,🟠 Security Orchestration / Automation
gapilongo/SOC,SOC (LangGraph),TRIAGE-MINIMAL,triage minimal,14 étoiles; dernier commit 2025-10-25; licence MIT,AI SOC Framework,🟡 Moyenne,oui,oui,🟠 Security Orchestration / Automation
DependencyTrack/dependency-track,Dependency-Track,SHORTLIST,analyse approfondie,4148 étoiles; dernier commit 2026-08-27; licence Apache-2.0,Vulnerability Management Platform,⭐ Haute,oui,oui,🟡 Vulnerability Management
nccgroup/ScoutSuite,ScoutSuite,TRIAGE-MINIMAL,triage minimal,7802 étoiles; inactif depuis 28 mois; licence GPL-2.0,Multi-Cloud Security Auditing,🟡 Moyenne,oui,oui,🟡 Vulnerability Management
carlospolop/PurplePanda,PurplePanda,TRIAGE-MINIMAL,triage minimal,720 étoiles; dernier commit 2026-07-11; licence inconnue,Cloud Privilege Escalation,🟡 Moyenne,non,oui,🟡 Vulnerability Management
deepfence/ThreatMapper,ThreatMapper,TRIAGE-MINIMAL,triage minimal,5318 étoiles; dernier commit 2026-05-13; licence Apache-2.0,Vulnerability Scanner,🟡 Moyenne,oui,oui,🟡 Vulnerability Management
deepfence/SecretScanner,SecretScanner,TRIAGE-MINIMAL,triage minimal,3382 étoiles; dernier commit 2026-03-07; licence MIT,Secrets Detection,🟡 Moyenne,oui,oui,🟡 Vulnerability Management
trufflesecurity/trufflehog,TruffleHog,TRIAGE-HAUTE,triage obligatoire,27604 étoiles; dernier commit 2026-08-26; licence AGPL-3.0,Secrets Detection,⭐ Haute,oui,oui,🟡 Vulnerability Management
GitGuardian/ggshield,ggshield (GitGuardian),TRIAGE-HAUTE,triage obligatoire,1992 étoiles; dernier commit 2026-08-27; licence MIT,Secrets Detection,⭐ Haute,oui,oui,🟡 Vulnerability Management
Yelp/detect-secrets,detect-secrets,TRIAGE-MINIMAL,triage minimal,4629 étoiles; dernier commit 2026-04-02; licence Apache-2.0,Secrets Detection,🟡 Moyenne,oui,oui,🟡 Vulnerability Management
mongodb/kingfisher,Kingfisher,TRIAGE-MINIMAL,triage minimal,1215 étoiles; dernier commit 2026-08-23; licence Apache-2.0,Secrets Detection + Validation,🟡 Moyenne,oui,oui,🟡 Vulnerability Management
grab/secret-scanner,Git Secret Scanner,TRIAGE-MINIMAL,triage minimal,56 étoiles; inactif depuis 81 mois; licence MIT,Secrets Detection,⚪ Faible,oui,oui,🟡 Vulnerability Management
padok-team/git-secret-scanner,Git Secret Scanner (Padok),TRIAGE-MINIMAL,triage minimal,69 étoiles; dernier commit 2026-08-20; licence Apache-2.0,Secrets Detection,⚪ Faible,oui,oui,🟡 Vulnerability Management
intelowlproject/IntelOwl,IntelOwl,SHORTLIST,analyse approfondie,4684 étoiles; dernier commit 2026-07-02; licence AGPL-3.0,OSINT / CTI Platform,⭐ Haute,oui,oui,🟤 Threat Intelligence / OSINT
yeti-platform/yeti,Yeti,TRIAGE-MINIMAL,triage minimal,2020 étoiles; dernier commit 2026-08-27; licence Apache-2.0,Threat Intelligence Repository,🟡 Moyenne,oui,oui,🟤 Threat Intelligence / OSINT
gosintframework/gosint,GOSINT,N/A,non applicable,licence inconnue; repo non exploitable (404-introuvable),IOC Collection Framework,🟡 Moyenne,non,non,🟤 Threat Intelligence / OSINT
OSTrICa/OSTrICa,OSTrICa,N/A,non applicable,licence inconnue; repo non exploitable (404-introuvable),Threat Intelligence Framework,⚪ Faible,non,non,🟤 Threat Intelligence / OSINT
OpenIOC/OpenIOC,OpenIOC,N/A,non applicable,licence inconnue; repo non exploitable (404-introuvable),Threat Intelligence Framework,⚪ Faible,non,non,🟤 Threat Intelligence / OSINT
typedb-osi/typedb-cti,TypeDB CTI,TRIAGE-MINIMAL,triage minimal,170 étoiles; dernier commit 2026-01-08; licence inconnue,CTI Platform,🟡 Moyenne,non,oui,🟤 Threat Intelligence / OSINT
PickupSTIX/pickupstix,PickupSTIX,N/A,non applicable,licence inconnue; repo non exploitable (404-introuvable),Threat Intelligence Feed,⚪ Faible,non,non,🟤 Threat Intelligence / OSINT
dev-lu/osint_toolkit,OSINT Toolkit,TRIAGE-MINIMAL,triage minimal,937 étoiles; dernier commit 2026-04-28; licence AGPL-3.0,OSINT Platform,🟡 Moyenne,oui,oui,🟤 Threat Intelligence / OSINT
TIGMINT/TIGMINT,TIGMINT,TRIAGE-MINIMAL,triage minimal,263 étoiles; inactif depuis 62 mois; licence MIT,OSINT Framework,🟡 Moyenne,oui,oui,🟤 Threat Intelligence / OSINT
jivoi/awesome-osint,Awesome OSINT,TRIAGE-MINIMAL,triage minimal,28460 étoiles; dernier commit 2026-08-25; archivé; licence inconnue,OSINT Tools List,🟡 Moyenne,non,oui,🟤 Threat Intelligence / OSINT
gmh5225/awesome-ai-security,Awesome AI Security,TRIAGE-HAUTE,triage obligatoire,44 étoiles; dernier commit 2026-08-22; licence MIT,AI Security Resources,⭐ Haute,oui,oui,🟤 Threat Intelligence / OSINT
ProjectRecon/awesome-ai-agents-security,Awesome AI Agents Security,TRIAGE-HAUTE,triage obligatoire,67 étoiles; dernier commit 2026-06-12; licence inconnue,AI Agent Security Resources,⭐ Haute,non,oui,🟤 Threat Intelligence / OSINT
0xh3xa/awesome-cyber-security-tools,Awesome Cybersecurity Tools,TRIAGE-MINIMAL,triage minimal,9 étoiles; dernier commit 2026-07-18; licence CC0-1.0,Cybersecurity Tools List,🟡 Moyenne,oui,oui,🟤 Threat Intelligence / OSINT
landoncrabtree/awesome-cyber,Awesome Cyber,TRIAGE-MINIMAL,triage minimal,111 étoiles; inactif depuis 20 mois; licence inconnue,Cybersecurity Tools List,🟡 Moyenne,non,oui,🟤 Threat Intelligence / OSINT
bst04/CyberSources,CyberSources,TRIAGE-MINIMAL,triage minimal,2398 étoiles; dernier commit 2026-08-27; licence MIT,Cybersecurity Resources List,🟡 Moyenne,oui,oui,🟤 Threat Intelligence / OSINT
CaledoniaProject/awesome-opensource-security,Awesome Opensource Security,TRIAGE-MINIMAL,triage minimal,660 étoiles; dernier commit 2026-06-06; licence inconnue,Security Tools List,🟡 Moyenne,non,oui,🟤 Threat Intelligence / OSINT
